Sample.ID	Sentrix.Barcode	SampleSection	Batch	Date_out	Date_extraction	person	Conc_Nanodrop	Date_Dilutionand_Amplification	Date_cRNApurification	Date_Quantitation_by_RiboGreen	Eluted_Total_labelled_cRNA	labelled_cRNA_Yield	concentration_of_labelled_cRNA	Date_labelled_cRNA	Date_Hybridization_for_15_hours	Date_Washing_and_scanning
9020374058_A	9020374058	A	1	13/05/2013	14/05/2013	1	62.89	16/07/2013	17/07/2013	23/07/2013	40	9884.0	247.1	25/07/2013	25/07/2013	26/07/2013
9020374058_B	9020374058	B	1	13/05/2013	14/05/2013	1	52.75	16/07/2013	17/07/2013	23/07/2013	40	13085.2	327.1	25/07/2013	25/07/2013	26/07/2013
9020374058_C	9020374058	C	1	21/05/2013	22/05/2013	1	98.97	16/07/2013	17/07/2013	23/07/2013	40	22012.8	550.3	25/07/2013	25/07/2013	26/07/2013
9020374058_D	9020374058	D	1	21/05/2013	22/05/2013	1	78.19	16/07/2013	17/07/2013	23/07/2013	40	17624.8	440.6	25/07/2013	25/07/2013	26/07/2013
9020374058_E	9020374058	E	1	13/05/2013	14/05/2013	1	56.07	16/07/2013	17/07/2013	23/07/2013	40	16468.0	411.7	25/07/2013	25/07/2013	26/07/2013
9020374058_F	9020374058	F	1	13/05/2013	14/05/2013	1	37.58	16/07/2013	17/07/2013	23/07/2013	40	10738.0	268.5	25/07/2013	25/07/2013	26/07/2013
9020374058_G	9020374058	G	1	13/05/2013	14/05/2013	1	105.6	16/07/2013	17/07/2013	23/07/2013	40	9387.2	234.7	25/07/2013	25/07/2013	26/07/2013
9020374058_H	9020374058	H	1	13/05/2013	14/05/2013	1	59.99	16/07/2013	17/07/2013	23/07/2013	40	10725.6	268.1	25/07/2013	25/07/2013	26/07/2013
9020374058_I	9020374058	I	1	21/05/2013	22/05/2013	1	65.97	16/07/2013	17/07/2013	23/07/2013	40	13968.8	349.2	25/07/2013	25/07/2013	26/07/2013
9020374058_J	9020374058	J	1	21/05/2013	22/05/2013	1	90	16/07/2013	17/07/2013	23/07/2013	40	9340.8	233.5	25/07/2013	25/07/2013	26/07/2013
9020374058_K	9020374058	K	1	13/05/2013	14/05/2013	1	91.63	16/07/2013	17/07/2013	23/07/2013	40	9796.0	244.9	25/07/2013	25/07/2013	26/07/2013
9020374058_L	9020374058	L	1	13/05/2013	14/05/2013	1	20.13	16/07/2013	17/07/2013	23/07/2013	40	14518.4	363.0	25/07/2013	25/07/2013	26/07/2013
9020374069_A	9020374069	A	1	22/05/2013	23/05/2013	1	77.96	16/07/2013	17/07/2013	23/07/2013	40	20395.6	509.9	25/07/2013	25/07/2013	26/07/2013
9020374069_B	9020374069	B	1	22/05/2013	23/05/2013	1	39.83	16/07/2013	17/07/2013	23/07/2013	40	31126.0	778.2	25/07/2013	25/07/2013	26/07/2013
9020374069_C	9020374069	C	1	22/05/2013	22/05/2013	2	99.96	16/07/2013	17/07/2013	23/07/2013	40	13738.8	343.5	25/07/2013	25/07/2013	26/07/2013
